,Note: The data and information in this document is reflective of a hypothetical situation and client. This document is to be used for KPMG Virtual Internship purposes only. ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
521,Elmira,Vasilyev,Female,33,1951-10-14,Senior Quality Engineer,Manufacturing,High Net Worth,N,No,12,12 Eastlawn Terrace,2007,NSW,Australia,9,0.46,0.46,0.5750000000000001,0.5750000000000001,520.0,520,0.8375
522,Free,Rowland,Male,42,1956-05-17,,,Mass Customer,N,Yes,12,24929 Spaight Junction,3796,VIC,Australia,8,0.48,0.6,0.6,0.51,520.0,520,0.8375
523,Worthington,Cohane,Male,60,1991-01-23,Chief Design Engineer,Entertainment,High Net Worth,N,No,2,846 Daystar Lane,2000,NSW,Australia,12,0.93,0.93,1.1625,1.1625,520.0,520,0.8375
524,Bailey,Bereford,Male,44,1950-09-30,Senior Sales Associate,Argiculture,Affluent Customer,N,Yes,11,36 Golf Course Circle,2444,NSW,Australia,6,0.88,1.1,1.1,1.1,524.0,524,0.83671875
525,Perry,Whitehurst,Male,79,1980-05-29,Structural Engineer,Manufacturing,High Net Worth,N,Yes,8,0 Nelson Crossing,3155,VIC,Australia,7,0.83,1.0374999999999999,1.0374999999999999,1.0374999999999999,524.0,524,0.83671875
526,Antony,Tuma,Male,11,1954-03-10,Environmental Tech,Telecommunications,High Net Worth,N,Yes,13,93264 Almo Plaza,3078,VIC,Australia,10,0.62,0.775,0.96875,0.96875,526.0,526,0.833
527,Corene,Hallgate,Female,26,1964-11-06,,Financial Services,Mass Customer,N,Yes,14,2109 Shoshone Court,3103,VIC,Australia,12,0.43,0.5375,0.671875,0.57109375,526.0,526,0.833
528,Nico,Chadwick,Male,97,1953-05-24,Research Assistant IV,Financial Services,Affluent Customer,N,No,13,355 Roxbury Lane,3190,VIC,Australia,8,0.62,0.62,0.775,0.775,526.0,526,0.833
529,Joline,Skipperbottom,Female,59,1972-06-27,Desktop Support Technician,,High Net Worth,N,No,9,2 Warrior Crossing,2161,NSW,Australia,9,1.04,1.04,1.3,1.3,529.0,529,0.83
530,Ivy,Farr,Female,56,1973-07-03 00:00:00,Office Assistant IV,IT,High Net Worth,N,No,19,08470 Kingsford Lane,2120,NSW,Australia,11,0.72,0.72,0.8999999999999999,0.8999999999999999,530.0,530,0.8287500000000001
531,Dallas,Lavalde,Female,18,1998-12-19,Product Engineer,,Mass Customer,N,No,12,16898 Donald Plaza,2323,NSW,Australia,4,0.4,0.4,0.4,0.34,530.0,530,0.8287500000000001
532,Amabel,,Female,71,1981-09-14,Chief Design Engineer,Financial Services,Mass Customer,N,Yes,9,3128 Mallory Pass,2144,NSW,Australia,6,0.74,0.925,0.925,0.78625,530.0,530,0.8287500000000001
533,Hilario,McCulloch,Male,61,1986-01-10,Physical Therapy Assistant,Retail,Mass Customer,N,No,8,799 Luster Road,3051,VIC,Australia,8,0.45,0.45,0.45,0.3825,530.0,530,0.8287500000000001
534,Jim,Haddrell,Male,55,1955-04-08,Associate Professor,Financial Services,Mass Customer,N,No,9,53 Dryden Trail,2358,NSW,Australia,3,1.02,1.02,1.02,0.867,530.0,530,0.8287500000000001
535,Jacobo,Mucklow,Male,62,1952-12-04,Computer Systems Analyst I,Financial Services,High Net Worth,N,Yes,22,5512 Ronald Regan Hill,3122,VIC,Australia,8,0.46,0.5750000000000001,0.5750000000000001,0.5750000000000001,530.0,530,0.8287500000000001
536,Gretel,Paschke,Female,10,1956-05-29,Editor,Financial Services,Mass Customer,N,Yes,17,72 Melrose Street,4074,QLD,Australia,7,0.46,0.5750000000000001,0.5750000000000001,0.48875,536.0,536,0.8250000000000001
537,Jethro,Mertel,Male,16,1978-12-10 00:00:00,Software Consultant,Argiculture,Mass Customer,N,Yes,15,3460 Dapin Street,2262,NSW,Australia,6,0.97,1.2125,1.2125,1.030625,536.0,536,0.8250000000000001
538,Dwain,Hatch,Male,62,1994-11-16,Marketing Assistant,Health,Affluent Customer,N,No,15,5 Hovde Lane,3028,VIC,Australia,8,0.53,0.53,0.53,0.53,536.0,536,0.8250000000000001
539,Lucretia,D'Agostini,Female,41,1978-12-14,Database Administrator III,Manufacturing,High Net Worth,N,No,15,4 Gale Center,3185,VIC,Australia,7,0.54,0.54,0.54,0.54,536.0,536,0.8250000000000001
540,Claude,Bowstead,Female,37,1997-11-29,Accounting Assistant III,Manufacturing,Mass Customer,N,No,7,5263 Stone Corner Crossing,2217,NSW,Australia,12,0.78,0.78,0.9750000000000001,0.8287500000000001,536.0,536,0.8250000000000001
541,Donn,MacGregor,Male,80,1965-04-22,Civil Engineer,Manufacturing,High Net Worth,N,No,5,0439 Mandrake Park,2046,NSW,Australia,10,0.52,0.52,0.65,0.65,536.0,536,0.8250000000000001
542,Laurel,Devennie,Female,78,1976-09-25,VP Product Management,Manufacturing,Affluent Customer,N,No,13,069 Hoard Pass,4352,QLD,Australia,5,0.93,0.93,0.93,0.93,536.0,536,0.8250000000000001
543,Elvira,Darthe,Female,10,1975-04-08 00:00:00,Accounting Assistant I,Financial Services,Affluent Customer,N,No,16,89 Green Ridge Point,2168,NSW,Australia,9,0.92,0.92,1.1500000000000001,1.1500000000000001,536.0,536,0.8250000000000001
544,Angie,Tansley,Male,68,1950-11-30,VP Sales,Manufacturing,Mass Customer,N,No,8,8 Cardinal Junction,2444,NSW,Australia,7,0.5,0.5,0.5,0.425,544.0,544,0.8245
545,Terrence,Dalligan,Male,60,1998-02-19,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,2,240 Main Hill,3200,VIC,Australia,6,0.98,1.225,1.225,1.225,544.0,544,0.8245
546,Katy,Crooke,Female,0,1977-06-30,Food Chemist,Health,Mass Customer,N,No,13,67081 Burrows Center,2111,NSW,Australia,12,0.59,0.59,0.7374999999999999,0.626875,546.0,546,0.8234374999999999
547,Sammy,Borsi,Female,99,1972-04-27,Accountant III,Financial Services,Mass Customer,N,No,5,0 Kipling Way,2289,NSW,Australia,7,0.81,0.81,1.0125000000000002,0.8606250000000001,546.0,546,0.8234374999999999
548,Morganica,Ainsbury,Female,37,1973-01-06,Senior Editor,Entertainment,High Net Worth,N,Yes,9,1 Raven Way,2151,NSW,Australia,10,0.8,1.0,1.25,1.25,546.0,546,0.8234374999999999
549,Nils,Champion,Male,69,1984-07-06,Programmer III,Retail,Affluent Customer,N,No,13,261 Holy Cross Park,2750,NSW,Australia,9,0.67,0.67,0.8375,0.8375,549.0,549,0.82
550,Beverlee,Querree,Female,42,1991-04-21,Marketing Manager,Financial Services,High Net Worth,N,Yes,12,891 Ohio Terrace,2075,NSW,Australia,12,0.69,0.8624999999999999,1.078125,1.078125,549.0,549,0.82
551,Cami,Eitter,Female,34,1979-01-03 00:00:00,Professor,Manufacturing,High Net Worth,N,Yes,11,1408 Hovde Circle,3081,VIC,Australia,9,0.59,0.7374999999999999,0.9218749999999999,0.9218749999999999,551.0,551,0.818125
552,Reiko,Degenhardt,Female,83,1976-01-16,Financial Analyst,Financial Services,High Net Worth,N,Yes,5,50897 Northfield Road,4280,QLD,Australia,6,1.08,1.35,1.6875,1.6875,552.0,552,0.816
553,Cord,Dunsmore,Male,12,1999-04-21,Internal Auditor,Manufacturing,Mass Customer,N,Yes,13,596 Boyd Park,4301,QLD,Australia,3,0.65,0.8125,0.8125,0.6906249999999999,552.0,552,0.816
554,Gabey,Kennicott,Female,55,1958-05-14,Developer I,Financial Services,Affluent Customer,N,No,17,8 Fordem Place,2322,NSW,Australia,6,1.01,1.01,1.01,1.01,552.0,552,0.816
555,Jacqui,Devey,Female,79,1995-10-01,Analyst Programmer,Financial Services,High Net Worth,N,Yes,13,656 Kennedy Crossing,2261,NSW,Australia,8,0.42,0.525,0.525,0.525,555.0,555,0.8125
556,Byrom,Ramas,Male,23,1993-11-02,Help Desk Technician,Manufacturing,High Net Worth,N,No,12,2 Jackson Place,2528,NSW,Australia,7,0.89,0.89,0.89,0.89,555.0,555,0.8125
557,Worthington,Ahmed,Male,79,1972-03-24,Senior Cost Accountant,Financial Services,High Net Worth,N,No,13,39408 Manufacturers Road,3335,VIC,Australia,3,1.03,1.03,1.03,1.03,555.0,555,0.8125
558,Chico,Dye,Male,46,1994-02-04,Speech Pathologist,Manufacturing,High Net Worth,N,No,13,168 Schlimgen Center,2526,NSW,Australia,9,0.9,0.9,1.125,1.125,555.0,555,0.8125
559,Davidde,Cockroft,Male,70,1947-04-21,Geological Engineer,Manufacturing,High Net Worth,N,No,8,8 Kim Avenue,2158,NSW,Australia,12,0.96,0.96,1.2,1.2,555.0,555,0.8125
560,Charlie,Dmych,Male,60,1950-03-31,Account Coordinator,Manufacturing,High Net Worth,N,No,13,920 Cambridge Way,2263,NSW,Australia,6,0.98,0.98,0.98,0.98,555.0,555,0.8125
561,Donn,Chaney,Male,15,1951-01-29,Research Assistant II,,Mass Customer,N,No,13,4 Schlimgen Trail,4701,QLD,Australia,3,1.06,1.06,1.06,0.901,561.0,561,0.81015625
562,Kamila,Parsonage,Female,80,1954-03-08,,Property,Mass Customer,N,No,5,31 Mccormick Court,4131,QLD,Australia,8,0.45,0.45,0.45,0.3825,562.0,562,0.81
563,Barth,Sapshed,Male,4,1994-06-16,Executive Secretary,Financial Services,Mass Customer,N,Yes,13,65 Milwaukee Lane,4520,QLD,Australia,10,0.58,0.725,0.90625,0.7703125,563.0,563,0.8075
564,Padriac,Collacombe,Male,67,1967-04-07,Software Consultant,Health,Affluent Customer,N,No,13,76 Mendota Park,2090,NSW,Australia,10,0.86,0.86,1.075,1.075,563.0,563,0.8075
565,Olive,Mozzi,Female,87,1955-07-06,Account Representative IV,Retail,Affluent Customer,N,Yes,20,26667 Rigney Place,2567,NSW,Australia,9,1.06,1.3250000000000002,1.6562500000000002,1.6562500000000002,563.0,563,0.8075
566,Benedict,Rosas,Male,73,1955-11-25,Actuary,Financial Services,High Net Worth,N,Yes,15,898 Muir Court,2142,NSW,Australia,6,0.78,0.9750000000000001,0.9750000000000001,0.9750000000000001,563.0,563,0.8075
567,Virginia,De Antoni,Female,17,1964-03-14,Executive Secretary,Telecommunications,High Net Worth,N,Yes,12,88093 Pierstorff Plaza,2030,NSW,Australia,10,0.67,0.8375,1.046875,1.046875,563.0,563,0.8075
568,Nicolas,O'Donnell,Male,40,1986-09-25,Internal Auditor,,Mass Customer,N,Yes,14,3319 Anthes Crossing,3177,VIC,Australia,7,0.66,0.8250000000000001,0.8250000000000001,0.70125,568.0,568,0.8
569,Oswald,MacCarlich,Male,81,1991-11-24,Assistant Media Planner,Entertainment,Mass Customer,N,No,14,16 Mosinee Place,4717,QLD,Australia,1,0.56,0.56,0.7000000000000001,0.5950000000000001,568.0,568,0.8
570,Ailyn,Howgate,Female,66,2001-09-27,Electrical Engineer,Manufacturing,Mass Customer,N,Yes,2,197 Northport Plaza,4213,QLD,Australia,7,1.05,1.3125,1.3125,1.1156249999999999,568.0,568,0.8
571,Karol,Salthouse,Female,53,1968-07-29,Research Assistant III,Financial Services,Mass Customer,N,Yes,18,10236 Mifflin Avenue,2570,NSW,Australia,8,0.84,1.05,1.05,0.8925,568.0,568,0.8
572,Esdras,Birchett,Male,81,1950-12-09,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,21,5287 Clarendon Plaza,2258,NSW,Australia,9,1.01,1.2625,1.578125,1.34140625,568.0,568,0.8
573,Wilfrid,Gertray,Male,1,1942-08-23,Accounting Assistant I,Financial Services,Mass Customer,N,No,16,38407 Sutteridge Circle,2766,NSW,Australia,8,1.02,1.02,1.02,0.867,568.0,568,0.8
574,Charmain,Styles,Female,49,1965-02-25,Programmer Analyst I,Property,High Net Worth,N,Yes,18,423 Holy Cross Lane,3029,VIC,Australia,7,0.77,0.9625,0.9625,0.9625,574.0,574,0.7989999999999999
575,Harlene,Nono,U,69,,Human Resources Manager,IT,Mass Customer,N,No,12,0307 Namekagon Crossing,2170,NSW,Australia,7,0.74,0.74,0.74,0.629,575.0,575,0.796875
576,Kirsteni,Gritskov,Female,66,1998-05-12,,,Mass Customer,N,No,4,743 Stuart Terrace,2560,NSW,Australia,7,0.98,0.98,0.98,0.833,575.0,575,0.796875
577,Bobby,Summersby,Male,90,1943-10-27,Sales Associate,Financial Services,Affluent Customer,N,No,7,1478 Oak Valley Park,3350,VIC,Australia,2,0.79,0.79,0.9875,0.9875,575.0,575,0.796875
578,Shepherd,Dutchburn,Male,33,1976-08-12,Senior Sales Associate,Financial Services,High Net Worth,N,Yes,9,8970 Anhalt Junction,2160,NSW,Australia,9,0.84,1.05,1.3125,1.3125,575.0,575,0.796875
579,Berenice,Kaesmakers,Female,64,1994-10-15,Sales Representative,Retail,Mass Customer,N,No,11,563 Waywood Park,2145,NSW,Australia,9,0.82,0.82,1.025,0.8712499999999999,575.0,575,0.796875
580,Jesse,Crosio,Male,75,1994-04-15,Data Coordiator,,Mass Customer,N,Yes,13,9313 Mayer Street,3133,VIC,Australia,8,0.7,0.875,0.875,0.74375,575.0,575,0.796875
581,Cordi,Thornton,Female,47,1973-01-04,Structural Engineer,Telecommunications,Mass Customer,N,No,11,2978 Mccormick Center,2028,NSW,Australia,10,0.63,0.63,0.7875,0.6693749999999999,575.0,575,0.796875
582,Debbie,Tillman,Female,3,1990-07-06,Account Coordinator,Manufacturing,High Net Worth,N,Yes,13,527 Jay Trail,4551,QLD,Australia,8,0.93,1.1625,1.1625,1.1625,582.0,582,0.79
583,Judie,Pirkis,Female,2,1995-07-18,Recruiter,,Affluent Customer,N,Yes,4,6 Loftsgordon Pass,2111,NSW,Australia,11,0.91,1.1375,1.421875,1.421875,583.0,583,0.7875
584,Flin,Yoskowitz,Male,9,1995-12-17,Registered Nurse,Health,Mass Customer,N,Yes,11,9940 Manley Drive,2574,NSW,Australia,7,0.8,1.0,1.0,0.85,583.0,583,0.7875
585,Noel,Sturch,Female,26,1951-10-28,Environmental Specialist,Health,Mass Customer,N,No,10,0736 West Crossing,3585,VIC,Australia,1,0.44,0.44,0.44,0.374,583.0,583,0.7875
586,Letizia,Poore,Female,27,1938-08-30,Web Developer II,Manufacturing,Affluent Customer,N,No,15,95796 Mcbride Drive,3677,VIC,Australia,3,0.49,0.49,0.49,0.49,583.0,583,0.7875
587,Raynard,,Male,32,1996-04-13,Statistician III,Health,Affluent Customer,N,No,14,20187 Loomis Court,4132,QLD,Australia,6,0.58,0.58,0.58,0.58,587.0,587,0.78625
588,Kiley,Grunder,Male,95,1994-04-17,Cost Accountant,Financial Services,Affluent Customer,N,Yes,1,17393 Colorado Hill,4006,QLD,Australia,8,1.04,1.3,1.625,1.625,587.0,587,0.78625
589,Ethelred,Sissel,Male,83,1974-12-25,Programmer Analyst IV,Health,High Net Worth,N,No,18,65 Rutledge Parkway,2539,NSW,Australia,8,0.81,0.81,1.0125000000000002,1.0125000000000002,587.0,587,0.78625
590,Dena,Pabst,Female,39,1987-04-20,Account Executive,Manufacturing,High Net Worth,N,Yes,17,02023 Loeprich Drive,3037,VIC,Australia,7,0.58,0.725,0.725,0.725,590.0,590,0.7835937499999999
591,Wyndham,Woolford,Male,1,1979-10-22,Engineer IV,Manufacturing,Mass Customer,N,No,10,9107 Pine View Plaza,3977,VIC,Australia,6,0.63,0.63,0.63,0.5355,591.0,591,0.782
592,Rochette,Haddacks,Female,44,1996-05-10,Tax Accountant,Retail,Affluent Customer,N,Yes,13,822 Di Loreto Junction,3020,VIC,Australia,8,0.83,1.0374999999999999,1.0374999999999999,1.0374999999999999,591.0,591,0.782
593,Jamal,Dudgeon,Male,83,1965-02-09,Mechanical Systems Engineer,Financial Services,Mass Customer,N,No,7,2712 Namekagon Crossing,3029,VIC,Australia,5,0.45,0.45,0.5625,0.47812499999999997,591.0,591,0.782
594,Levin,Coxen,Male,13,1955-10-22,Accountant I,Property,Mass Customer,N,No,20,32 Hazelcrest Court,2753,NSW,Australia,8,0.56,0.56,0.56,0.47600000000000003,594.0,594,0.78125
595,Marinna,Kauschke,Female,21,1973-03-15 00:00:00,Sales Associate,Financial Services,Affluent Customer,N,Yes,8,9 Forster Circle,3174,VIC,Australia,3,0.42,0.525,0.525,0.525,595.0,595,0.775625
596,Kyle,Michie,Female,6,1958-07-19,Nurse Practicioner,,Mass Customer,N,Yes,10,07226 Anzinger Avenue,3032,VIC,Australia,8,0.44,0.55,0.55,0.4675,595.0,595,0.775625
597,Lanie,Cobbold,Male,57,1978-12-31 00:00:00,Senior Sales Associate,,Mass Customer,N,Yes,9,936 Porter Lane,2323,NSW,Australia,5,0.92,1.1500000000000001,1.1500000000000001,0.9775,595.0,595,0.775625
598,Gilbert,O'Fallone,Male,29,1994-11-07,Assistant Media Planner,Entertainment,High Net Worth,N,No,1,6 Havey Pass,2126,NSW,Australia,11,0.8,0.8,1.0,1.0,595.0,595,0.775625
599,Gerianne,Kaysor,U,15,,Project Manager,IT,Affluent Customer,N,No,5,882 Toban Lane,2121,NSW,Australia,11,0.42,0.42,0.525,0.525,599.0,599,0.775
600,Esther,McOnie,Female,59,1939-05-26,Legal Assistant,,Mass Customer,N,No,14,844 Forster Place,2096,NSW,Australia,12,0.51,0.51,0.6375,0.541875,599.0,599,0.775
601,Chaim,Kingdon,Male,63,1996-01-21,Compensation Analyst,Financial Services,Affluent Customer,N,Yes,15,42590 Bellgrove Court,2097,NSW,Australia,9,0.53,0.6625000000000001,0.8281250000000001,0.8281250000000001,599.0,599,0.775
602,Anson,Dearnaly,Male,68,1997-06-29,Data Coordiator,Health,Affluent Customer,N,Yes,11,6060 Veith Crossing,2103,NSW,Australia,11,0.52,0.65,0.8125,0.8125,602.0,602,0.7735
603,Caitrin,Critten,Female,45,1973-01-29,Director of Sales,Manufacturing,Mass Customer,N,Yes,10,25 Lakeland Point,4113,QLD,Australia,7,1.01,1.2625,1.2625,1.0731249999999999,603.0,603,0.7703125
604,Garreth,Minett,Male,93,1961-05-23,Physical Therapy Assistant,,Affluent Customer,N,Yes,10,21667 Randy Crossing,3163,VIC,Australia,7,0.95,1.1875,1.484375,1.484375,604.0,604,0.765
605,Rozamond,Sommer,Female,27,1966-09-19,Operator,IT,Affluent Customer,N,Yes,12,608 Dapin Court,3129,VIC,Australia,10,0.7,0.875,1.09375,1.09375,604.0,604,0.765
606,Annabell,Downer,Female,33,1955-11-25,Budget/Accounting Analyst II,,Affluent Customer,N,No,20,8738 Lukken Terrace,2763,NSW,Australia,9,0.68,0.68,0.8500000000000001,0.8500000000000001,606.0,606,0.7649999999999999
607,Maximilian,Geffen,Male,96,1955-07-13,Automation Specialist III,Manufacturing,Mass Customer,N,Yes,20,8634 Wayridge Pass,2750,NSW,Australia,8,0.96,1.2,1.5,1.275,606.0,606,0.7649999999999999
608,Ajay,Worham,Female,80,1979-09-30,Computer Systems Analyst I,Manufacturing,Mass Customer,N,Yes,12,5 Homewood Road,2800,NSW,Australia,6,1.0,1.25,1.25,1.0625,606.0,606,0.7649999999999999
609,Jamison,Cashin,Male,70,1970-05-19,VP Product Management,Health,Mass Customer,N,Yes,5,7 Dunning Avenue,2477,NSW,Australia,8,0.88,1.1,1.1,0.935,609.0,609,0.7625
610,Dorian,Emery,Female,94,1998-08-24,Professor,Manufacturing,Mass Customer,N,Yes,9,67 Beilfuss Plaza,2168,NSW,Australia,8,0.73,0.9125,1.140625,0.96953125,609.0,609,0.7625
611,Nicol,Swinford,Male,65,1976-12-07 00:00:00,VP Marketing,Property,High Net Worth,N,No,16,976 Roxbury Alley,4157,QLD,Australia,7,0.46,0.46,0.46,0.46,609.0,609,0.7625
612,Agna,Cowpe,Female,88,1969-03-05,,Property,Mass Customer,N,Yes,7,2 Main Lane,4114,QLD,Australia,3,1.02,1.275,1.59375,1.3546875,612.0,612,0.7570312499999999
613,Nev,Prosh,Male,29,1950-05-08,Environmental Tech,Health,Affluent Customer,N,Yes,17,6115 Forest Crossing,2148,NSW,Australia,8,0.98,1.225,1.225,1.225,612.0,612,0.7570312499999999
614,Lucius,Hatchell,Male,37,1951-03-19,Media Manager II,Retail,Mass Customer,N,Yes,14,432 Ronald Regan Court,3782,VIC,Australia,8,0.5,0.625,0.625,0.53125,612.0,612,0.7570312499999999
615,Francisca,Pottage,Female,63,1957-06-10,Software Engineer II,IT,Mass Customer,N,No,8,8600 Forster Lane,2177,NSW,Australia,9,0.52,0.52,0.65,0.5525,615.0,615,0.7565
616,Farlie,Brookz,Male,62,1963-07-31,Administrative Assistant I,Health,Mass Customer,N,Yes,6,6692 Independence Way,2070,NSW,Australia,12,0.57,0.7124999999999999,0.8906249999999999,0.7570312499999999,615.0,615,0.7565
617,Mariette,,Female,47,1956-07-05,Programmer II,Property,Affluent Customer,N,Yes,17,770 Farmco Point,2049,NSW,Australia,11,1.08,1.35,1.6875,1.6875,617.0,617,0.7543749999999999
618,Beverlee,Ungerechts,Female,49,1973-10-03 00:00:00,Civil Engineer,Manufacturing,Mass Customer,N,No,8,602 Toban Center,4020,QLD,Australia,7,1.1,1.1,1.1,0.935,617.0,617,0.7543749999999999
619,Nanni,Girodias,Female,61,1959-01-08,,Retail,High Net Worth,N,No,16,74 Shopko Pass,2161,NSW,Australia,9,0.53,0.53,0.6625000000000001,0.6625000000000001,617.0,617,0.7543749999999999
620,Delcina,Hursey,Female,22,1968-12-26,,Financial Services,Mass Customer,N,Yes,7,804 Washington Point,4132,QLD,Australia,4,0.95,1.1875,1.1875,1.009375,620.0,620,0.75
621,Lek,Pimblett,Male,88,1955-09-29,Product Engineer,Financial Services,Mass Customer,N,Yes,6,97 Merrick Center,2460,NSW,Australia,2,0.47,0.5874999999999999,0.7343749999999999,0.6242187499999999,620.0,620,0.75
622,Kellyann,Adshad,Female,62,1940-06-07,,,Mass Customer,N,Yes,22,29 Tennyson Alley,2161,NSW,Australia,9,0.87,1.0875,1.359375,1.15546875,620.0,620,0.75
623,Ewell,Paulusch,Male,31,1998-01-15,Engineer I,Manufacturing,Mass Customer,N,Yes,8,8194 Lien Street,4032,QLD,Australia,7,0.43,0.5375,0.5375,0.456875,620.0,620,0.75
624,Madison,Lars,Male,11,1967-01-19,Health Coach III,Health,Mass Customer,N,No,19,9503 New Castle Street,4500,QLD,Australia,9,0.78,0.78,0.9750000000000001,0.8287500000000001,620.0,620,0.75
625,Ardis,Taree,Female,97,1960-04-12,Chemical Engineer,Manufacturing,Affluent Customer,N,Yes,5,0 Emmet Trail,4128,QLD,Australia,9,0.76,0.95,1.1875,1.1875,625.0,625,0.748
626,Wheeler,Godsil,Male,51,1993-09-20,Geologist IV,Manufacturing,Affluent Customer,N,Yes,6,7 Spaight Drive,2147,NSW,Australia,9,1.06,1.3250000000000002,1.6562500000000002,1.6562500000000002,626.0,626,0.74375
627,Marissa,O'Scandall,Female,17,1973-07-13,,,Affluent Customer,N,Yes,7,45000 Randy Court,3199,VIC,Australia,7,0.96,1.2,1.2,1.2,626.0,626,0.74375
628,Terrel,Keynd,Male,30,1961-04-20,Junior Executive,Manufacturing,Mass Customer,N,No,9,65 David Pass,4221,QLD,Australia,7,0.74,0.74,0.74,0.629,626.0,626,0.74375
629,Augie,Swallwell,Male,42,1939-08-22,,Property,Affluent Customer,N,Yes,13,7 Golden Leaf Avenue,2400,NSW,Australia,2,0.78,0.9750000000000001,0.9750000000000001,0.9750000000000001,626.0,626,0.74375
630,Dillon,Bannister,Male,7,1945-12-24,Tax Accountant,,Mass Customer,N,No,11,43 Dayton Drive,2062,NSW,Australia,9,0.94,0.94,1.1749999999999998,0.9987499999999998,626.0,626,0.74375
631,Osbourn,Gherardini,Male,43,1987-05-01,,,High Net Worth,N,Yes,16,5 Dryden Road,2782,NSW,Australia,7,0.97,1.2125,1.2125,1.2125,626.0,626,0.74375
632,Lissa,Gawn,Female,86,1962-09-21,Legal Assistant,Health,Mass Customer,N,Yes,17,14183 Iowa Center,4503,QLD,Australia,5,0.56,0.7000000000000001,0.8750000000000001,0.74375,632.0,632,0.74
633,Leisha,McConway,Female,3,1975-10-31,Payment Adjustment Coordinator,Financial Services,Mass Customer,N,Yes,13,95 Del Mar Court,3175,VIC,Australia,8,0.73,0.9125,0.9125,0.775625,632.0,632,0.74
634,Kearney,Cuddehy,Male,88,1997-05-18,Marketing Assistant,Retail,Mass Customer,N,No,12,98 Shoshone Road,4207,QLD,Australia,6,0.95,0.95,1.1875,1.009375,634.0,634,0.7394999999999999
635,Shellysheldon,Bichard,Male,96,1954-01-06,Desktop Support Technician,Financial Services,Mass Customer,N,Yes,16,7199 Springview Parkway,4503,QLD,Australia,5,0.56,0.7000000000000001,0.8750000000000001,0.74375,634.0,634,0.7394999999999999
636,Reinhard,Oscroft,Male,23,1950-03-18,Pharmacist,Health,High Net Worth,N,No,18,045 Magdeline Court,3690,VIC,Australia,1,0.83,0.83,0.83,0.83,634.0,634,0.7394999999999999
637,Menard,Venmore,Male,97,1978-04-04,Assistant Professor,Retail,High Net Worth,N,No,8,5 Hoard Trail,2197,NSW,Australia,10,0.65,0.65,0.8125,0.8125,637.0,637,0.7374999999999999
638,Andree,Breeds,Female,31,1954-10-19,Senior Editor,Financial Services,Affluent Customer,N,Yes,11,93 Scofield Pass,3152,VIC,Australia,6,0.83,1.0374999999999999,1.0374999999999999,1.0374999999999999,637.0,637,0.7374999999999999
639,Kata,Harrop,Female,70,1950-05-04,,Retail,Affluent Customer,N,Yes,13,2 Ridgeway Avenue,2196,NSW,Australia,10,0.5,0.625,0.78125,0.78125,637.0,637,0.7374999999999999
640,Pierrette,Gummie,Female,18,1966-08-04,Statistician II,Retail,Affluent Customer,N,No,14,29 Maple Trail,3143,VIC,Australia,8,0.74,0.74,0.74,0.74,637.0,637,0.7374999999999999
641,Nady,Withinshaw,Female,96,1968-02-17,Database Administrator III,,High Net Worth,N,No,8,7 Brentwood Circle,4000,QLD,Australia,7,0.57,0.57,0.7124999999999999,0.7124999999999999,641.0,641,0.7343749999999999
642,Demott,Mullaly,Male,42,1982-12-15,Help Desk Operator,Property,Mass Customer,N,No,13,28 Hazelcrest Drive,2525,NSW,Australia,8,0.43,0.43,0.43,0.3655,642.0,642,0.7331249999999999
643,Wendye,Kleinplatz,Female,48,1996-05-28,Executive Secretary,Manufacturing,Affluent Customer,N,No,14,01 Reindahl Circle,4132,QLD,Australia,3,1.1,1.1,1.1,1.1,643.0,643,0.731
644,Irvin,Bevans,Male,82,1962-07-12,Payment Adjustment Coordinator,Manufacturing,Mass Customer,N,No,12,5880 Hauk Street,2046,NSW,Australia,11,1.01,1.01,1.2625,1.0731249999999999,644.0,644,0.73046875
645,Madella,Marquiss,Female,51,1976-10-08 00:00:00,VP Marketing,,Affluent Customer,N,No,18,0 Larry Park,3175,VIC,Australia,8,0.95,0.95,0.95,0.95,644.0,644,0.73046875
646,Austine,Speedy,Female,38,1940-05-23,Software Engineer II,Argiculture,High Net Worth,N,Yes,14,69 Sunfield Terrace,2558,NSW,Australia,8,0.6,0.75,0.75,0.75,646.0,646,0.73
647,Wolf,Craft,Male,93,1995-07-19,Database Administrator III,Retail,Affluent Customer,N,Yes,5,7513 Swallow Drive,2148,NSW,Australia,9,0.73,0.9125,1.140625,1.140625,646.0,646,0.73
648,Aldin,Newsome,Male,24,1981-07-06,Financial Analyst,Financial Services,Mass Customer,N,No,17,058 Morningstar Center,2127,NSW,Australia,9,0.5,0.5,0.625,0.53125,648.0,648,0.725
649,Sindee,Jasik,Female,18,1942-10-21,Social Worker,Health,Mass Customer,N,Yes,15,0689 Melby Park,4030,QLD,Australia,9,0.65,0.8125,1.015625,0.86328125,648.0,648,0.725
